entry,at,order
"The player ""KY @ IWYeFfhEu_"" quits the game with a stack of 280.61.",2025-02-18T11:06:02.496Z,173987676249600
"The player ""rondog @ UjXI8JaXcs"" stand up with the stack of 262.91.",2025-02-18T11:05:04.208Z,173987670420800
"""rondog @ UjXI8JaXcs"" shows a 5♣.",2025-02-18T11:05:01.988Z,173987670198800
"-- ending hand #199 --",2025-02-18T11:05:00.595Z,173987670059502
"""KY @ IWYeFfhEu_"" collected 120.00 from pot",2025-02-18T11:05:00.595Z,173987670059501
"Uncalled bet of 120.00 returned to ""KY @ IWYeFfhEu_""",2025-02-18T11:05:00.595Z,173987670059500
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:04:59.776Z,173987669977600
"""Que @ GRZ2bZkObS"" folds",2025-02-18T11:04:34.700Z,173987667470000
"""KY @ IWYeFfhEu_"" bets 120.00",2025-02-18T11:04:27.645Z,173987666764500
"""Eddy @ yNLyma14Bn"" checks",2025-02-18T11:04:21.374Z,173987666137400
"River: J♥, 7♠, A♥, 5♠ [2♣]",2025-02-18T11:04:19.123Z,173987665912300
"""Que @ GRZ2bZkObS"" calls 20.00",2025-02-18T11:04:18.273Z,173987665827300
"""rondog @ UjXI8JaXcs"" folds",2025-02-18T11:04:17.219Z,173987665721900
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:04:15.572Z,173987665557200
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:04:13.035Z,173987665303500
"""KY @ IWYeFfhEu_"" calls 20.00",2025-02-18T11:04:06.905Z,173987664690500
"""Eddy @ yNLyma14Bn"" bets 20.00",2025-02-18T11:04:03.954Z,173987664395400
"Turn: J♥, 7♠, A♥ [5♠]",2025-02-18T11:03:59.880Z,173987663988000
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:03:59.032Z,173987663903200
"""rondog @ UjXI8JaXcs"" checks",2025-02-18T11:03:56.852Z,173987663685200
"""danyo @ PzfvjptKMt"" checks",2025-02-18T11:03:55.450Z,173987663545000
"""jin @ Uk6-7jEsDG"" checks",2025-02-18T11:03:54.504Z,173987663450400
"""KY @ IWYeFfhEu_"" checks",2025-02-18T11:03:52.810Z,173987663281000
"""Eddy @ yNLyma14Bn"" checks",2025-02-18T11:03:50.203Z,173987663020300
"Flop:  [J♥, 7♠, A♥]",2025-02-18T11:03:46.862Z,173987662686200
"""KY @ IWYeFfhEu_"" calls 10.00",2025-02-18T11:03:46.020Z,173987662602000
"""Eddy @ yNLyma14Bn"" calls 10.00",2025-02-18T11:03:42.627Z,173987662262700
"""Que @ GRZ2bZkObS"" calls 10.00",2025-02-18T11:03:41.713Z,173987662171300
"""rondog @ UjXI8JaXcs"" calls 10.00",2025-02-18T11:03:40.756Z,173987662075600
"""danyo @ PzfvjptKMt"" calls 10.00",2025-02-18T11:03:39.824Z,173987661982400
"The admin ""danyo @ PzfvjptKMt"" enqueued the game stop on next hand.",2025-02-18T11:03:38.660Z,173987661866000
"""jin @ Uk6-7jEsDG"" raises to 10.00",2025-02-18T11:03:36.624Z,173987661662400
"""KY @ IWYeFfhEu_"" posts a big blind of 0.50",2025-02-18T11:03:31.480Z,173987661148009
"""Eddy @ yNLyma14Bn"" posts a small blind of 0.25",2025-02-18T11:03:31.480Z,173987661148008
"Your hand is 5♣, 6♠",2025-02-18T11:03:31.480Z,173987661148003
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (614.21) | #4 ""rondog @ UjXI8JaXcs"" (272.91) | #5 ""Que @ GRZ2bZkObS"" (472.68) | #7 ""Eddy @ yNLyma14Bn"" (1015.27) | #8 ""KY @ IWYeFfhEu_"" (190.61) | #10 ""jin @ Uk6-7jEsDG"" (1904.52)",2025-02-18T11:03:31.480Z,173987661148001
"-- starting hand #199 (id: w1u2euicr2lz)  (No Limit Texas Hold'em) (dealer: ""Que @ GRZ2bZkObS"") --",2025-02-18T11:03:31.480Z,173987661148000
"Undealt cards: J♦, J♣, 8♥, 3♠ [9♣]",2025-02-18T11:03:28.616Z,173987660861600
"-- ending hand #198 --",2025-02-18T11:03:25.563Z,173987660556302
"""KY @ IWYeFfhEu_"" collected 17.49 from pot",2025-02-18T11:03:25.563Z,173987660556301
"Uncalled bet of 8.74 returned to ""KY @ IWYeFfhEu_""",2025-02-18T11:03:25.563Z,173987660556300
"""Que @ GRZ2bZkObS"" folds",2025-02-18T11:03:24.759Z,173987660475900
"""KY @ IWYeFfhEu_"" bets 8.74",2025-02-18T11:03:23.225Z,173987660322500
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:03:19.033Z,173987659903300
"Turn: J♦, J♣, 8♥ [3♠]",2025-02-18T11:03:17.554Z,173987659755400
"""Que @ GRZ2bZkObS"" calls 4.37",2025-02-18T11:03:16.697Z,173987659669700
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:03:12.975Z,173987659297500
"""KY @ IWYeFfhEu_"" bets 4.37",2025-02-18T11:03:11.760Z,173987659176000
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:03:07.410Z,173987658741000
"Flop:  [J♦, J♣, 8♥]",2025-02-18T11:03:00.696Z,173987658069600
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:02:59.858Z,173987657985800
"""Que @ GRZ2bZkObS"" calls 2.75",2025-02-18T11:02:58.913Z,173987657891300
"""rondog @ UjXI8JaXcs"" folds",2025-02-18T11:02:57.900Z,173987657790000
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:02:55.362Z,173987657536200
"""jin @ Uk6-7jEsDG"" calls 2.75",2025-02-18T11:02:48.743Z,173987656874300
"""KY @ IWYeFfhEu_"" raises to 2.75",2025-02-18T11:02:42.300Z,173987656230000
"""Eddy @ yNLyma14Bn"" posts a big blind of 0.50",2025-02-18T11:02:29.639Z,173987654963909
"""Que @ GRZ2bZkObS"" posts a small blind of 0.25",2025-02-18T11:02:29.639Z,173987654963908
"Your hand is 2♦, J♠",2025-02-18T11:02:29.639Z,173987654963903
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (614.21) | #4 ""rondog @ UjXI8JaXcs"" (272.91) | #5 ""Que @ GRZ2bZkObS"" (479.80) | #7 ""Eddy @ yNLyma14Bn"" (1015.77) | #8 ""KY @ IWYeFfhEu_"" (180.24) | #10 ""jin @ Uk6-7jEsDG"" (1907.27)",2025-02-18T11:02:29.639Z,173987654963901
